,_id_x,auction_location,auction_time,city_url,date_of_auction,date_of_scraping,deposit,law_firm,lawfirm,listing_url,principal_amount,principal_date,property_address,url,_id_y,bathrooms,bedrooms,lat,lng,lot_size,region_name,unique_id,zcity,zestimate,zpid,zstate,zstreet_address,zzip
1198,5cad2b81737ae125a03fff8b,"4100 Chain Bridge Road, Fairfax, MD 20772",1:00 PM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/5.html,5/31/2019 0:00,32:17.1,20000,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94544/00025621.html,97465,4/9/2012 0:00,"6141 leesburg pike apt 208, falls church, va 22041",,5cae4b92737ae14cfce01dd4,1,1,38.858467,-77.147534,,Falls Church,5cad2b81737ae125a03fff8b,Falls Church,162311,51849191,VA,6141 Leesburg Pike APT 208,22041
1200,5cad2b84737ae125a03fff8c,"4100 Chain Bridge Road, Fairfax, MD 20772",11:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/6.html,4/25/2019 0:00,32:20.6,-0.2," McCabe, Weisberg & Conway, LLC., http://www.mwc-law.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94817/00025863.html,-2,3/29/2019 0:00,"2917 monroe place, falls church, virginia 22042",,5cae4b92737ae14cfce01dd5,4,5,38.871928,-77.176753,7405,Falls Church,5cad2b84737ae125a03fff8c,Falls Church,730284,51816429,VA,2917 Monroe Pl,22042
1202,5cad2b87737ae125a03fff8d,"4100 Chain Bridge Road, Fairfax, MD 20772",1:00 PM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/6.html,4/15/2019 0:00,32:23.9,20000,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94819/00025865.html,300645,8/12/2004 0:00,"9198 lake braddock drive, burke, va 22015",,5cae4b92737ae14cfce01dd6,4.5,5,38.799292,-77.260467,14679,Burke,5cad2b87737ae125a03fff8d,Burke,732177,51900843,VA,9198 Lake Braddock Dr,22015
1204,5cad2b8b737ae125a03fff8e,"4100 Chain Bridge Road, Fairfax, MD 20772",1:00 PM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/7.html,4/22/2019 0:00,32:27.4,20000,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/95101/00026117.html,343711,4/1/2014 0:00,"6471 silver ridge circle, alexandria, va 22315",,5cae4b93737ae14cfce01dd7,3,3,38.761802,-77.16157,1654,Franconia,5cad2b8b737ae125a03fff8e,Alexandria,398407,51949756,VA,6471 Silver Ridge Cir,22315
1206,5cad2b8e737ae125a03fff8f,"4100 Chain Bridge Road, Fairfax, MD 20772",1:00 PM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/7.html,4/1/2019 0:00,32:30.7,20000,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94078/00025081.html,78000,9/9/1994 0:00,"8658 hickory ridge court, springfield, va 22153",,5cae4b93737ae14cfce01dd8,2,3,38.735405,-77.24389,1500,Springfield,5cad2b8e737ae125a03fff8f,Springfield,353635,51968433,VA,8658 Hickory Ridge Ct,22153
1210,5cad2b95737ae125a03fff91,"4100 Chain Bridge Road, Fairfax, MD 20772",9:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/8.html,5/2/2019 0:00,32:37.6,34000,"BWW Law Group, LLC, http://www.bwwsales.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94871/00025846.html,340000,6/30/2006 0:00,"2208 harvard drive, alexandria, va 22307",,5cae4b93737ae14cfce01dda,1,,38.779035,-77.068843,7200,Belle Haven,5cad2b95737ae125a03fff91,Alexandria,503433,51926380,VA,2208 Harvard Dr,22307
1212,5cad2b99737ae125a03fff92,"4100 Chain Bridge Road, Fairfax, MD 20772",10:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/9.html,5/7/2019 0:00,32:41.1,5140,"Terra Abstract Virginia, Inc., http://www.terraabstract.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/95151/00026150.html,51400,8/4/2015 0:00,"4314 lees corner rd, chantilly, virginia 20151",,5cae4b93737ae14cfce01ddb,2,3,38.879693,-77.422473,8399,Chantilly,5cad2b99737ae125a03fff92,Chantilly,439215,51785814,VA,4314 Lees Corner Rd,20151
1216,5cad2b9f737ae125a03fff94,"4100 Chain Bridge Road, Fairfax, MD 20772",1:00 PM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/10.html,3/25/2019 0:00,32:47.9,20000,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/93904/00024890.html,277874,4/9/2018 0:00,"6014 regents park road, centreville, va 20120",,5cae4b94737ae14cfce01ddd,1.5,3,38.842502,-77.456296,3060,Centreville,5cad2b9f737ae125a03fff94,Centreville,300977,51826829,VA,6014 Regents Park Rd,20120
1218,5cad2ba3737ae125a03fff95,"4100 Chain Bridge Road, Fairfax, MD 20772",9:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/10.html,5/2/2019 0:00,32:51.2,44469.6,"BWW Law Group, LLC, http://www.bwwsales.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94673/00024804.html,444696,6/10/2016 0:00,"2536 banshire drive, herndon, va 20171",,5cae4b94737ae14cfce01dde,3,4,38.948043,-77.415966,1485,Herndon,5cad2ba3737ae125a03fff95,Herndon,458812,51716783,VA,2536 Banshire Dr,20171
1220,5cad2ba6737ae125a03fff96,"4100 Chain Bridge Road, Fairfax, MD 20772",9:00 AM,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/11.html,4/9/9301 0:00,32:54.6,64000,"BWW Law Group, LLC, http://www.bwwsales.com",,http://classified.washingtontimes.com/category/358/Foreclosure-Sales-FFX-Cty/listings/94195/00025138.html,640000,6/23/2006 0:00,"4110 cottage lane, annandale, va 22003",,5cae4b95737ae14cfce01ddf,4,5,38.834996,-77.18124,12632,Annandale,5cad2ba6737ae125a03fff96,Annandale,761769,51847860,VA,4110 Cottage Ln,22003
